rnd100GridLine,rnd020GridStation,Latitude,Longitude
-100,-20,-69.6680585,-75.19768666
-100,0,-69.52731386,-75.51618121
-100,20,-69.3859923,-75.83053164
-100,40,-69.24410515,-76.14080844
-100,60,-69.10166349,-76.44708112
-100,80,-68.95867815,-76.74941822
-100,100,-68.8151597,-77.04788733
-100,120,-68.6711185,-77.34255502
-100,140,-68.52656468,-77.6334869
-100,160,-68.38150812,-77.92074759
-100,180,-68.23595851,-78.20440072
-100,200,-68.08992533,-78.48450893
-100,220,-67.94341784,-78.7611339
0,0,-68.96746,-73.56079
0,20,-68.83033,-73.87995
0,40,-68.69264,-74.19518
0,60,-68.55442,-74.50655
0,80,-68.41566,-74.81412
0,100,-68.27638,-75.11795
0,120,-68.1366,-75.4181
0,140,-67.99632,-75.71462
0,160,-67.85556,-76.00758
0,180,-67.71432,-76.29703
0,200,-67.57263,-76.58303
0,220,-67.42147,-76.8656
100,0,-68.37991,-71.70503
100,20,-68.24631,-72.02746
100,40,-68.11211,-72.34614
100,60,-67.97735,-72.66112
100,80,-67.84202,-72.97245
100,100,-67.70613,-73.28018
100,120,-67.56972,-73.58438
100,140,-67.43277,-73.88508
100,160,-67.29531,-74.18235
100,180,-67.15734,-74.47622
100,200,-67.01889,-74.76676
100,220,-66.87474,-75.05398
200,-80,-68.28590783,-68.6102923
200,-60,-68.15827762,-68.94941311
200,-40,-68.02996974,-69.28477642
200,-20,-67.90099636,-69.61642881
200,0,-67.77199,-69.94445
200,20,-67.64183,-70.26883
200,40,-67.51106,-70.58963
200,60,-67.37969,-70.9069
200,80,-67.24772,-71.22069
200,100,-67.11518,-71.53105
200,120,-66.98207,-71.83802
200,140,-66.84841,-72.14165
200,160,-66.7142,-72.44197
200,180,-66.57947,-72.73904
200,200,-66.44421,-73.0329
220,220,-66.3056,-73.32358
300,40,-66.89115,-68.92127
300,60,-66.76309,-69.2397
300,80,-66.63442,-69.55482
300,100,-66.50514,-69.86668
300,120,-66.37528,-70.1753
300,140,-66.24483,-70.48074
300,160,-66.11382,-70.78303
300,180,-65.98225,-71.0822
300,200,-65.85014,-71.3783
300,220,-65.71606,-71.67136
400,20,-66.37799743,-67.01478314
400,40,-66.25395,-67.33657
400,60,-66.12911,-67.65517
400,80,-66.00364,-67.97065
400,100,-65.87755,-68.28302
400,120,-65.75085,-68.59233
400,140,-65.62354,-68.89861
400,160,-65.49565,-69.2019
400,180,-65.36718,-69.50222
400,200,-65.23815,-69.79961
400,220,-65.1079,-70.0941
500,0,-65.84224292,-65.18611024
500,60,-65.47918,-66.14892
500,80,-65.35682,-66.46391
500,100,-65.23382,-66.77597
500,120,-65.11018,-67.08512
500,140,-64.98594,-67.39141
500,160,-64.86108,-67.69486
500,180,-64.73563,-67.99549
500,200,-64.6096,-68.29334
500,220,-64.48273,-68.58843
500,240,-64.35542336,-68.88077592
600,0,-65.16861626,-63.75840905
600,20,-65.05127923,-64.08061701
600,40,-64.93333,-64.4
600,60,-64.81464,-64.71657
600,80,-64.69528,-65.03036
600,100,-64.57527,-65.34139
600,120,-64.45461,-65.64968
600,140,-64.33333,-65.95526
600,160,-64.21142,-66.25815
600,180,-64.0889,-66.55838
600,200,-63.96578,-66.85597
600,220,-63.842,-67.15094
600,240,-63.71760682,-67.4433133
