studyName,"Event Number",Cruise,"Count Minute (min)",Species,Number,Linkages,Behavior,Direction,Notes
PD93-01,235,9301,00,NULL,0,0,0,NULL,"STERN COUNT"
PD93-01,235,9301,01,SPSK,1,0,1,NULL,NULL
PD93-01,235,9301,02,WISP,1,0,1,NULL,NULL
PD93-01,235,9301,04,ADPE,15,0,3,NULL,NULL
PD93-01,235,9301,04,SPSK,1,0,1,NULL,NULL
PD93-01,235,9301,05,ADPE,12,0,5,NULL,"HEADING TOWARDS SE"
PD93-01,235,9301,06,ADPE,8,0,5,NULL,"HEADING TOWARDS SE"
PD93-01,235,9301,07,ADPE,6,0,5,NULL,"HEADING TOWARDS SE"
PD93-01,235,9301,11,SPSK,1,0,1,NULL,NULL
PD93-01,235,9301,11,ANTE,2,0,1,NULL,"1 W/ FISH IN BILL"
PD93-01,235,9301,16,SPSK,1,0,1,NULL,NULL
PD93-01,235,9301,17,SPSK,1,0,2,NULL,NULL
PD93-01,235,9301,19,GIPE,2,0,3,NULL,BATHING
PD93-01,235,9301,19,SPSK,1,0,1,NULL,NULL
PD93-01,235,9301,20,WISP,1,0,1,NULL,NULL
PD93-01,235,9301,23,SPSK,1,0,1,NULL,NULL
PD93-01,235,9301,24,SPSK,1,0,1,NULL,NULL
PD93-01,235,9301,25,SPSK,1,0,6,NULL,"ON WATER"
PD93-01,235,9301,27,SPSK,1,0,1,NULL,NULL
PD93-01,238,9301,01,SPSK,2,0,1,NULL,NULL
PD93-01,238,9301,04,SPSK,1,0,1,NULL,NULL
PD93-01,238,9301,06,SPSK,1,0,1,NULL,NULL
PD93-01,238,9301,08,SPSK,1,0,1,NULL,NULL
PD93-01,238,9301,10,SPSK,1,0,1,NULL,NULL
PD93-01,238,9301,28,SPSK,1,0,1,NULL,NULL
PD93-01,238,9301,29,FUSE,1,0,5,NULL,NULL
PD93-01,243,9301,07,WISP,1,0,1,NULL,NULL
PD93-01,243,9301,12,SPSK,1,0,1,NULL,NULL
PD93-01,243,9301,13,GIPE,1,0,1,NULL,NULL
PD93-01,243,9301,14,WISP,1,0,1,NULL,NULL
PD93-01,243,9301,21,WISP,1,0,1,NULL,NULL
PD93-01,243,9301,23,WISP,1,0,1,NULL,NULL
PD93-01,243,9301,23,SPSK,1,0,1,NULL,NULL
PD93-01,243,9301,23,BBAL,1,0,1,NULL,NULL
PD93-01,243,9301,24,WISP,1,0,1,NULL,NULL
PD93-01,243,9301,25,SPSK,1,0,1,NULL,NULL
PD93-01,243,9301,26,SPSK,1,0,1,NULL,NULL
PD93-01,243,9301,28,WISP,2,0,1,NULL,NULL
PD93-01,243,9301,29,WISP,1,0,1,NULL,NULL
PD93-01,243,9301,29,SPSK,1,0,1,NULL,NULL
PD93-01,247,9301,01,SPSK,1,0,1,NULL,NULL
PD93-01,247,9301,03,GIPE,1,0,1,NULL,NULL
PD93-01,247,9301,09,LMSA,1,0,1,NULL,NULL
PD93-01,247,9301,09,SPSK,1,0,1,NULL,NULL
PD93-01,251,9301,05,SPSK,1,0,2,NULL,NULL
PD93-01,251,9301,09,SPSK,1,0,2,NULL,NULL
PD93-01,251,9301,12,SPSK,1,0,1,NULL,NULL
PD93-01,251,9301,13,ADPE,1,0,5,NULL,NULL
PD93-01,251,9301,16,SPSK,1,0,1,NULL,"HEADED INTO ANVERS"
PD93-01,251,9301,17,SPSK,1,0,2,NULL,"HEADED INTO ANVERS"
PD93-01,251,9301,19,SPSK,1,0,1,NULL,"HEADED INTO ANVERS"
PD93-01,251,9301,21,SPSK,1,0,1,NULL,"HEADED INTO ANVERS"
PD93-01,251,9301,25,GIPE,1,0,0,NULL,NULL
PD93-01,251,9301,27,SPSK,1,0,0,NULL,IN
PD93-01,251,9301,28,WISP,1,0,1,NULL,NULL
PD93-01,251,9301,29,WISP,2,0,1,NULL,NULL
PD93-01,251,9301,29,WISP,2,0,1,NULL,NULL
PD93-01,255,9301,01,SPSK,1,0,2,NULL,NULL
PD93-01,255,9301,02,WISP,1,0,1,NULL,NULL
PD93-01,255,9301,02,SPSK,1,0,1,NULL,NULL
PD93-01,255,9301,02,SPSK,1,0,1,NULL,NULL
PD93-01,255,9301,03,BBAL,2,0,2,NULL,NULL
PD93-01,255,9301,10,BBAL,1,0,1,NULL,NULL
PD93-01,255,9301,11,BBAL,2,0,1,NULL,NULL
PD93-01,255,9301,12,WISP,1,0,1,NULL,NULL
PD93-01,255,9301,13,BBAL,2,0,1,NULL,NULL
PD93-01,255,9301,14,BBAL,3,0,1,NULL,NULL
PD93-01,255,9301,16,LMSA,1,0,1,NULL,NULL
PD93-01,255,9301,20,BBAL,2,0,2,NULL,NULL
