studyName,"Cruise Name","Year / Month",Station,"Event Number","Depth (m)","Latitude (º)","Longitude (º)","Day / Time","Sea State","Salinity (PSU)","Fluorometry (mg/m³)","Wind Speed","Wind Direction",Habitat,"Ice Cover","Ice Type","Ice Color","Count Minute (min)",Species,Number,Linkages,Behavior,Direction,Notes
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,00,WISP,1,0,2,NULL,"360 COUNT"
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,00,SPSK,2,0,1,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,BBAL,1,0,1,NULL,"BOPS, 300M"
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,WISP,2,0,1,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,SPSK,1,0,2,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,GIPE,1,0,1,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,SPSK,2,0,2,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,WISP,1,0,1,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,WISP,1,0,2,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,GIPE,1,0,0,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,SPSK,1,0,2,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,BBAL,1,0,1,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,WISP,1,0,0,NULL,NULL
PD93-01,9301,9301,580.040,456,0,6504.010,6440.920,221230,2,0,0,0,0,0,0,0,0,15,SPSK,1,0,1,NULL,NULL
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,00,SPSK,1,0,1,NULL,"360, 300M"
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,00,BBAL,1,0,1,NULL,NULL
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,15,BBAL,1,0,2,NULL,"BOPS, 300M"
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,15,BBAL,1,0,1,NULL,NULL
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,15,BBAL,1,0,1,NULL,NULL
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,15,SPSK,1,0,6,NULL,NULL
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,15,WISP,1,0,2,NULL,NULL
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,15,WISP,1,0,1,NULL,NULL
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,15,WISP,1,0,1,NULL,NULL
PD93-01,9301,9301,580.060,470,0,6456.530,6500.450,221721,2,0,0,0,0,0,0,0,0,15,BBAL,1,0,1,NULL,NULL
PD93-01,9301,9301,590.070,489,0,6449.290,6501.020,222313,3,0,0,0,0,0,0,0,0,00,FUSE,1,0,3,NULL,"360 COUNT"
PD93-01,9301,9301,590.070,489,0,6449.290,6501.020,222313,3,0,0,0,0,0,0,0,0,00,WISP,2,0,2,NULL,NULL
PD93-01,9301,9301,590.070,489,0,6449.290,6501.020,222313,3,0,0,0,0,0,0,0,0,15,CAPE,1,0,0,NULL,"BOPS, 516M"
PD93-01,9301,9301,590.070,489,0,6449.290,6501.020,222313,3,0,0,0,0,0,0,0,0,15,WISP,2,0,2,NULL,NULL
PD93-01,9301,9301,590.070,489,0,6449.290,6501.020,222313,3,0,0,0,0,0,0,0,0,15,SPSK,1,0,1,NULL,NULL
PD93-01,9301,9301,590.070,489,0,6449.290,6501.020,222313,3,0,0,0,0,0,0,0,0,15,WISP,1,0,1,NULL,NULL
PD93-01,9301,9301,590.050,508,0,6458.810,6440.930,230644,2,0,0,0,0,0,0,0,0,00,KEGU,1,0,0,NULL,"360 COUNT"
PD93-01,9301,9301,590.050,508,0,6458.810,6440.930,230644,2,0,0,0,0,0,0,0,0,00,BBAL,1,0,1,NULL,NULL
PD93-01,9301,9301,590.050,508,0,6458.810,6440.930,230644,2,0,0,0,0,0,0,0,0,00,WISP,1,0,1,NULL,NULL
