study,cruisename,year-month,stationstart,stationend,eventnumber,day-time,fix,total-time,shipspeed,shipcourse,latstart,longstart,latend,longend,sighting_utc
PD93-01,9301,9301,620.04,620.03,235,181014,,NA,6,NA,-64.804,-64.11067,-64.86367,-63.9765,NA
PD93-01,9301,9301,620.03,610.03,238,181109,,NA,6,NA,-64.86367,-63.9765,-64.922,-64.11433,NA
PD93-01,9301,9301,610.03,610.04,243,181201,,NA,6,NA,-64.922,-64.11433,-64.87117,-64.27033,NA
PD93-01,9301,9301,610.04,600.04,247,181256,,NA,6,NA,-64.87117,-64.27033,-64.93117,-64.41333,NA
PD93-01,9301,9301,600.04,600.05,251,181352,,NA,6.2,NA,-64.93117,-64.41333,-64.87117,-64.56333,NA
PD93-01,9301,9301,600.05,600.06,255,181442,,NA,5.9,NA,-64.87117,-64.56333,-64.80767,-64.7125,NA
PD93-01,9301,9301,600.06,610.06,258,181537,,NA,6.2,NA,-64.80767,-64.7125,-64.74017,-64.58333,NA
PD93-01,9301,9301,610.06,610.07,262,181632,,NA,6,NA,-64.74017,-64.58333,-64.68417,-64.7465,NA
PD93-01,9301,9301,610.07,610.08,266,181718,,NA,6,NA,-64.68417,-64.7465,-64.62433,-64.885,NA
PD93-01,9301,9301,610.08,610.09,270,181805,,NA,6,NA,-64.62433,-64.885,-64.6125,-65.06617,NA
PD93-01,9301,9301,610.09,600.08,274,181918,,NA,6,NA,-64.6125,-65.06617,-64.70017,-65.017,NA
PD93-01,9301,9301,600.08,600.07,278,182011,,NA,6,NA,-64.70017,-65.017,-64.75933,-64.86517,NA
PD93-01,9301,9301,600.07,600.06,282,182056,,NA,6,NA,-64.75933,-64.86517,-64.8175,-64.70283,NA
PD93-01,9301,9301,600.06,600.05,287,182148,,NA,6,NA,-64.8175,-64.70283,-64.87817,-64.56433,NA
PD93-01,9301,9301,600.05,600.04,291,182240,,NA,6.1,NA,-64.87817,-64.56433,-64.93783,-64.38983,NA
PD93-01,9301,9301,600.04,600.03,295,182332,,NA,6.1,NA,-64.93783,-64.38983,NA,NA,NA
PD93-01,9301,9301,590.03,590.04,300,190056,,NA,5.9,NA,-65.025,-64.3505,-64.99683,-64.5505,NA
PD93-01,9301,9301,590.04,590.05,304,190151,,NA,6,NA,-64.99683,-64.5505,-64.937,-64.70883,NA
PD93-01,9301,9301,590.05,590.06,308,190645,,NA,6,NA,-64.937,-64.70883,NA,NA,NA
